RANK,TEAM,GP,W,L,MIN,DEF_RTG,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,SEASON,PLAY
1,Houston Rockets,82,65,17,48.2,103.8,34.5,79.9,8.5,4.8,15.7,11.9,11.9,48,2017-18,reg
2,Toronto Raptors,82,59,23,48.4,103.4,34.2,77.7,7.6,6.1,15,13.2,11.6,45.3,2017-18,reg
3,Golden State Warriors,82,58,24,48.1,104.2,35.1,76.3,8,7.5,18.4,13.7,14.1,47.4,2017-18,reg
4,Boston Celtics,82,55,27,48.3,101.5,35.1,78.4,7.4,4.5,15.5,11.2,10.4,43.8,2017-18,reg
5,Philadelphia 76ers,82,52,30,48.2,102,36.5,78.6,8.3,5.1,18.5,12.2,10.3,41.6,2017-18,reg
6,Cleveland Cavaliers,82,50,32,48.1,109.5,33.7,77.3,7.1,3.8,16.5,12.7,11.3,47,2017-18,reg
7,Portland Trail Blazers,82,49,33,48.2,104.2,35.3,79.1,7,5.2,15,11.6,11.3,42.1,2017-18,reg
8,Indiana Pacers,82,48,34,48.2,105.6,32.7,76.2,8.8,4.1,14.8,12.8,12.3,44.8,2017-18,reg
8,Oklahoma City Thunder,82,48,34,48.4,104.7,32.6,77.4,9.1,5,14.3,12.8,11.2,43.5,2017-18,reg
8,New Orleans Pelicans,82,48,34,48.7,105.6,35.7,76.7,8,5.9,17.2,13.6,14.2,47.7,2017-18,reg
8,Utah Jazz,82,48,34,48.2,101.6,34.2,79.8,8.6,5.1,16.5,10.7,9.5,41.8,2017-18,reg
12,San Antonio Spurs,82,47,35,48.1,102.4,33.9,78.6,7.7,5.6,15,12.2,12.5,44.1,2017-18,reg
12,Minnesota Timberwolves,82,47,35,48.3,108.4,31.6,76.4,8.4,4.2,15.4,12.7,12.9,45.7,2017-18,reg
14,Denver Nuggets,82,46,36,48.5,108.8,33.5,77.5,7.6,4.9,18.7,11.2,13,47.3,2017-18,reg
15,Miami Heat,82,44,38,48.6,104,34.2,79,7.6,5.3,15.8,11.6,10.9,43.5,2017-18,reg
15,Milwaukee Bucks,82,44,38,48.4,107.1,31.5,75.9,8.8,5.4,15.8,13,10.1,47.3,2017-18,reg
17,Washington Wizards,82,43,39,48.4,106.2,33.1,77.1,7.9,4.3,17,13,11,45.4,2017-18,reg
18,LA Clippers,82,42,40,48.1,107.7,33.7,76.1,7.7,4.5,17.6,13.1,15.4,44.8,2017-18,reg
19,Detroit Pistons,82,39,43,48.3,104.8,33.6,78.5,7.7,3.9,14.9,11.2,9.9,43.6,2017-18,reg
20,Charlotte Hornets,82,36,46,48.2,107,35.4,80.7,6.8,4.5,14.8,10.6,10.7,45.2,2017-18,reg
21,Los Angeles Lakers,82,35,47,48.5,105.6,35.7,77.7,7.7,4.7,18.2,13.5,12.7,49,2017-18,reg
22,New York Knicks,82,29,53,48.4,108.4,33.6,76.7,6.7,5.1,17.4,13.2,11.4,43.4,2017-18,reg
23,Brooklyn Nets,82,28,54,48.4,108.5,34.8,77,6.2,4.8,17.3,13.5,11.6,47.8,2017-18,reg
24,Sacramento Kings,82,27,55,48.2,109,31.4,77.6,7.8,4.1,15.7,11.6,12.3,42.2,2017-18,reg
24,Chicago Bulls,82,27,55,48.4,109.1,35,80.6,7.6,3.5,16.3,11.1,11.3,44.5,2017-18,reg
26,Orlando Magic,82,25,57,48.1,107.7,32.8,75.6,7.6,4.9,17,12.8,12.9,48.3,2017-18,reg
27,Dallas Mavericks,82,24,58,48.3,107.4,33.1,78.9,7,3.8,13.9,11.3,14.2,42.2,2017-18,reg
27,Atlanta Hawks,82,24,58,48.1,108.2,32.8,76.2,7.8,4.2,17.9,12.9,13,44.4,2017-18,reg
29,Memphis Grizzlies,82,22,60,48.1,108.4,31,76.5,7.5,4.8,17.3,11.8,14.3,42.1,2017-18,reg
